Staff ID,Department,Shift Duration (Hours),Workdays per Month,Satisfaction Score,Years of Experience
S00730,Pediatrics,8,25,3.14,14
S00731,ER,12,27,2.43,1
S00732,ER,12,29,2.42,17
S00733,General Medicine,8,28,4.31,5
S00734,ICU,12,27,4.16,2
S00735,Pediatrics,12,15,2.23,9
S00736,General Medicine,12,22,4.66,4
S00737,ER,10,26,4.81,17
S00738,ER,10,17,2.31,17
S00739,General Medicine,12,26,2.42,18
S00740,Pediatrics,12,22,3.02,16
S00741,ICU,10,22,4.76,8
S00742,ICU,10,27,4.51,11
S00743,ER,8,19,1.41,18
S00744,Pediatrics,8,27,2.57,10
S00745,ICU,10,26,3.21,13
S00746,Pediatrics,12,27,3.01,17
S00747,Pediatrics,12,15,1.78,18
S00748,ER,12,27,4.44,10
S00749,ICU,12,24,3.71,16
S00750,General Medicine,8,21,4.35,5
S00751,ER,10,26,4.44,13
S00752,ICU,12,24,3.99,18
S00753,ICU,8,19,2.76,17
S00754,ICU,12,22,3.44,9
S00755,ICU,10,23,1.64,14
S00756,ICU,8,25,3.69,17
S00757,Pediatrics,10,28,1.72,4
S00758,ER,10,21,3.78,18
S00759,Pediatrics,8,28,1.92,15
S00760,General Medicine,8,27,1.47,11
S00761,ICU,8,29,1.66,12
S00762,ER,8,21,1.01,9
S00763,ICU,8,15,3.87,13
S00764,ER,8,29,3.93,15
S00765,Pediatrics,8,18,3.06,15
S00766,ER,12,16,1.65,5
S00767,General Medicine,10,16,1.33,19
S00768,General Medicine,8,16,1.08,14
S00769,ER,12,18,1.66,17
S00770,ER,12,28,4.56,18
S00771,ER,12,15,1.97,3
S00772,ER,10,29,2.42,2
S00773,General Medicine,8,18,1.42,1
S00774,ICU,12,16,1.89,10
S00775,ER,10,19,3.08,19
S00776,ER,10,17,3.43,17
S00777,General Medicine,10,29,1.98,12
S00778,General Medicine,12,26,1.23,1
S00779,Pediatrics,8,22,2.56,12
S00780,ER,12,18,1.94,17
S00781,Pediatrics,12,15,1.88,3
S00782,General Medicine,8,15,4.84,11
S00783,General Medicine,8,26,3.47,17
S00784,ICU,8,24,3.23,3
S00785,ER,10,17,2.66,8
S00786,Pediatrics,8,29,2.72,4
S00787,General Medicine,12,23,3.16,7
S00788,General Medicine,8,21,3.79,14
S00789,Pediatrics,12,16,3.81,14
S00790,ICU,10,29,1.69,4
S00791,General Medicine,12,27,3.0,16
S00792,ER,12,23,2.65,1
S00793,General Medicine,8,24,4.48,17
S00794,ER,8,16,3.53,10
S00795,Pediatrics,12,17,3.13,16
S00796,ER,8,25,1.46,16
S00797,Pediatrics,10,27,3.42,8
S00798,ER,10,24,1.47,7
S00799,Pediatrics,8,28,2.35,6
S00800,ER,10,16,1.57,16
S00801,ICU,8,17,3.77,16
S00802,ER,12,20,1.83,7
S00803,ER,12,23,2.57,9
S00804,ICU,10,23,4.58,14
S00805,General Medicine,8,21,1.82,11
S00806,General Medicine,8,26,3.03,14
S00807,ER,10,17,2.68,7
S00808,ICU,12,18,1.07,1
S00809,ER,10,20,4.17,13
S00810,Pediatrics,12,25,1.28,3
S00811,Pediatrics,8,19,2.9,4
S00812,ER,12,16,3.24,11
S00813,General Medicine,10,27,3.51,2
S00814,General Medicine,8,20,3.75,14
S00815,ER,10,17,2.01,12
S00816,ER,10,28,1.04,17
S00817,Pediatrics,12,22,3.89,12
S00818,General Medicine,10,16,3.14,12
S00819,ER,12,15,4.34,1
S00820,Pediatrics,8,23,4.29,13
S00821,General Medicine,12,28,4.37,14
S00822,ICU,8,26,2.94,2
S00823,Pediatrics,12,17,2.33,12
S00824,General Medicine,10,25,4.17,16
S00825,General Medicine,12,15,2.81,4
S00826,Pediatrics,12,21,1.73,8
S00827,ICU,8,27,4.42,2
S00828,Pediatrics,10,29,4.53,10
S00829,General Medicine,12,24,2.87,9
S00830,ER,10,19,1.3,15
S00831,ER,12,19,2.55,13
S00832,Pediatrics,12,28,4.21,17
S00833,General Medicine,10,15,4.61,16
S00834,ER,12,29,1.81,2
S00835,General Medicine,10,29,1.27,14
S00836,Pediatrics,12,23,4.51,3
S00837,ER,8,21,2.56,12
S00838,General Medicine,10,22,3.17,8
S00839,ER,12,23,4.87,2
S00840,Pediatrics,12,20,1.27,4
S00841,General Medicine,8,26,3.59,14
S00842,ER,10,19,1.3,16
S00843,Pediatrics,12,20,2.5,19
S00844,ER,8,25,4.22,2
S00845,ER,12,16,2.73,12
S00846,ICU,10,18,4.99,14
S00847,ICU,12,17,3.24,6
S00848,Pediatrics,12,27,2.28,13
S00849,ICU,12,21,1.88,4
S00850,Pediatrics,12,23,2.4,18
S00851,ICU,8,19,2.49,12
S00852,ER,8,20,1.27,19
S00853,Pediatrics,10,24,2.48,8
S00854,Pediatrics,8,28,2.86,7
S00855,ER,8,26,3.89,16
S00856,Pediatrics,10,26,3.63,19
S00857,Pediatrics,8,16,3.84,6
S00858,ICU,8,17,1.03,11
S00859,Pediatrics,10,17,1.87,5
S00860,General Medicine,10,26,3.65,16
S00861,ER,10,26,2.94,7
S00862,ICU,12,29,1.02,5
S00863,ICU,12,23,4.22,11
S00864,General Medicine,10,29,4.09,15
S00865,ER,10,21,3.19,3
S00866,ER,10,22,1.27,5
S00867,ICU,12,25,4.07,5
S00868,Pediatrics,12,24,3.33,9
S00869,ICU,8,25,4.13,15
S00870,ER,8,23,4.01,3
S00871,General Medicine,10,20,4.21,6
S00872,ICU,12,18,3.07,17
S00873,ER,12,26,1.56,8
S00874,ICU,12,15,3.68,11
S00875,Pediatrics,10,22,3.48,6
S00876,ICU,8,21,3.97,8
S00877,ICU,10,16,1.68,10
S00878,ER,8,22,1.78,3
S00879,ER,8,26,4.56,14
S00880,ER,10,19,4.0,14
S00881,ICU,8,21,4.63,10
S00882,Pediatrics,8,18,4.03,12
S00883,General Medicine,12,19,3.39,6
S00884,General Medicine,8,22,3.62,12
S00885,ER,10,15,4.56,14
S00886,ER,10,15,3.32,2
S00887,ICU,8,29,3.53,9
S00888,General Medicine,12,18,1.63,10
S00889,ER,12,17,2.9,17
S00890,Pediatrics,8,27,3.87,17
S00891,Pediatrics,8,24,2.08,3
S00892,ER,10,26,1.81,19
S00893,ER,8,16,2.26,1
S00894,General Medicine,12,26,1.97,12
S00895,General Medicine,8,17,1.86,7
S00896,ICU,10,25,2.7,4
S00897,General Medicine,10,29,4.63,10
S00898,Pediatrics,10,29,3.03,13
S00899,Pediatrics,10,25,1.75,2
S00900,ER,10,28,1.31,10
S00901,General Medicine,8,25,3.78,4
S00902,ICU,8,15,2.53,18
S00903,Pediatrics,8,15,4.29,5
S00904,Pediatrics,8,20,3.64,19
S00905,ICU,10,19,4.18,2
S00906,ICU,12,22,2.09,12
S00907,Pediatrics,8,16,3.77,17
S00908,Pediatrics,12,18,2.06,10
S00909,ICU,8,22,4.76,2
S00910,Pediatrics,8,26,3.55,6
S00911,ER,12,20,2.3,8
S00912,ER,10,15,2.08,19
S00913,ICU,8,29,1.76,11
S00914,General Medicine,8,18,3.78,12
S00915,ICU,8,15,1.87,9
S00916,ICU,12,27,3.38,2
S00917,General Medicine,10,16,2.06,8
S00918,General Medicine,12,19,3.65,11
S00919,General Medicine,12,28,4.26,4
S00920,ER,10,22,4.11,10
S00921,Pediatrics,12,22,4.04,16
S00922,ER,10,25,1.75,8
S00923,Pediatrics,8,17,1.35,4
S00924,ER,10,25,3.8,10
S00925,Pediatrics,8,27,2.47,12
S00926,ER,12,18,2.73,14
S00927,General Medicine,12,24,1.12,16
S00928,ICU,8,25,2.04,18
S00929,ER,12,28,1.13,12
S00930,Pediatrics,10,20,4.52,18
S00931,General Medicine,8,25,1.97,7
S00932,ER,12,25,3.23,7
S00933,ER,8,24,1.16,9
S00934,General Medicine,10,17,3.67,1
S00935,ER,10,16,2.29,6
S00936,ICU,12,20,4.59,6
S00937,ER,10,25,4.55,12
S00938,ICU,8,27,2.3,12
S00939,ICU,10,29,4.6,10
S00940,General Medicine,8,19,4.98,6
S00941,ER,8,28,4.3,17
S00942,General Medicine,10,24,4.38,19
S00943,ER,12,19,2.0,18
S00944,ER,10,24,3.31,6
S00945,Pediatrics,8,27,1.27,19
S00946,ER,8,19,1.38,10
S00947,General Medicine,10,24,5.0,8
S00948,ICU,12,26,2.31,6
S00949,ER,12,19,3.99,7
S00950,Pediatrics,8,17,4.23,1
S00951,General Medicine,8,21,4.43,18
S00952,ER,12,20,4.99,12
S00953,General Medicine,10,18,1.97,16
S00954,Pediatrics,8,16,1.16,10
S00955,Pediatrics,8,26,2.64,10
S00956,General Medicine,12,23,1.52,14
S00957,ER,10,15,1.09,10
S00958,ICU,12,27,2.44,10
S00959,Pediatrics,10,27,4.13,11
S00960,ER,10,25,3.26,2
S00961,ER,10,29,2.25,8
S00962,ICU,8,28,3.62,7
S00963,Pediatrics,12,18,1.93,8
S00964,Pediatrics,12,15,1.06,1
S00965,ER,10,27,4.06,2
S00966,ER,8,20,3.49,18
S00967,ICU,8,18,4.05,15
S00968,ICU,12,19,1.16,1
S00969,Pediatrics,8,19,4.35,5
S00970,General Medicine,8,23,3.48,2
S00971,Pediatrics,10,15,3.25,3
S00972,ER,8,27,3.5,19
S00973,Pediatrics,10,16,4.46,18
S00974,General Medicine,12,27,3.35,18
S00975,ICU,8,20,3.32,14
S00976,General Medicine,12,19,4.96,8
S00977,General Medicine,12,25,4.03,12
S00978,General Medicine,8,21,2.77,10
S00979,ICU,8,17,3.83,17
S00980,General Medicine,12,17,2.56,11
S00981,General Medicine,8,24,1.92,2
S00982,General Medicine,10,16,3.39,4
S00983,ER,10,27,4.71,1
S00984,General Medicine,8,17,4.72,15
S00985,ICU,12,24,2.37,13
S00986,General Medicine,8,15,3.11,8
S00987,General Medicine,8,19,1.85,4
S00988,ICU,12,28,4.98,10
S00989,General Medicine,12,29,4.92,19
S00990,ICU,10,26,3.6,18
S00991,General Medicine,12,19,4.22,5
S00992,ICU,10,26,3.86,19
S00993,General Medicine,12,25,3.37,16
S00994,General Medicine,8,21,1.21,1
S00995,ER,10,18,2.82,12
S00996,ER,10,17,3.7,2
S00997,General Medicine,10,15,3.71,8
S00998,General Medicine,8,26,2.49,18
S00999,Pediatrics,8,29,4.77,16
